,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
0,2.6794149658,13569.2492241812,54839744.08284605,16.73,0
1,0.5943468684,73588.7266634981,61438126.52395093,20.0,1
2,1.6145071727,114258.6921290512,49798724.94045679,17.83,0
3,0.2157943048,24764.3031380016,25434972.72075825,22.2,0
4,0.5702167609,42737.7337647264,46275567.00130072,20.09,1
5,0.0812905344,34297.5877783029,40585691.22792288,24.32,0
6,0.3837425691,27529.4723069673,29069121.41864897,20.95,0
7,0.0119135167,57544.4700827352,55115019.25807114,28.49,0
8,0.7835017643,56625.2101223615,69035980.03881611,19.4,0
9,0.2366137501,48425.8403287922,38355261.56076106,22.0,0
10,0.5649889822,58430.6971996129,38337496.948336646,20.11,1
11,0.3420109247,64393.9283164601,71983105.30586366,21.2,0
12,0.1563291544,38018.6152911655,52093021.60346941,22.9,0
13,0.0137416847,24323.0461447781,24617585.592055667,28.18,0
14,0.648694146,10402.0021780274,60789296.02771025,19.81,0
15,1.0815335068,74576.9307604201,59880809.89977076,18.7,0
16,0.0156329154,75486.0908535512,71387057.94968764,27.9,0
17,0.0986370281,70770.591144329,27717237.017649755,23.9,0
18,0.0651688382,42111.044076208,39421282.189457454,24.8,0
19,1.0328564805,104810.0937203257,18832837.961159527,18.8,0
20,0.0218796303,49452.2405777563,57667088.95334734,27.17,0
21,0.0225964377,27462.3780123238,38913011.95197583,27.1,0
22,0.0068240151,47644.44846305,52948852.88647757,29.7,0
23,0.4508582062,115899.1804982056,15101017.143061124,20.6,1
24,0.1132504611,33803.1665613625,70394867.7294613,23.6,0
25,0.9863702813,69871.9773106199,58438716.66670029,18.9,0
26,0.3926810818,71487.9408268469,21123317.709318034,20.9,0
27,0.2477650126,48655.3051323529,32797747.230158422,21.9,1
28,0.0714562102,17906.4910924356,66979305.81433465,24.6,0
29,0.3048175575,109370.3761722582,68231700.54084484,21.45,0
30,0.1132504611,67866.9270709547,67973444.05314478,23.6,0
31,2.3016536853,24889.1853045411,74035215.4339695,17.06,0
32,0.4943561926,40625.2889513582,14891803.160525508,20.4,1
33,0.4508582062,35852.7091885332,41530278.35873013,20.6,0
34,0.6824015094,50429.0751880435,68493001.73415387,19.7,0
35,0.4989304142,53877.1691510381,72103117.57910845,20.38,0
36,0.0326617897,18985.1919130411,46329518.186574526,26.3,0
37,0.0126485278,62986.2883263234,31121553.675848275,28.36,0
38,3.3731835891,52325.4536501944,68178439.2710279,16.23,0
39,1.30028927,37279.21093304,32530625.542762592,18.3,1
40,0.7551617405,25692.767376194,25448430.02155091,19.48,0
41,0.5420507863,39304.7215089966,70760700.6887492,20.2,0
42,0.3750075218,40893.8242062985,40940821.43199843,21.0,0
43,0.1425738833,17928.5976594827,9980651.395142367,23.1,0
44,0.0089958039,78622.5634985513,69474731.99651086,29.1,0
45,0.3420109247,58668.2898911323,42979239.01666103,21.2,0
46,0.6824015094,67427.2413314701,10094722.239382222,19.7,1
47,0.8204270649,93603.4388915508,71488075.81129809,19.3,1
48,0.0311917671,34034.9444761827,61591110.137824126,26.4,0
49,0.4426291165,45273.2754076121,64417544.92968328,20.64,0
50,0.4721064988,61503.1748375652,20252342.66384936,20.5,1
51,2.2910785472,133569.0447878095,59192889.510018654,17.07,1
52,0.1425738833,34057.4645253574,19271833.509066008,23.1,0
53,0.7482383761,178961.5176317593,70621103.49619783,19.5,0
54,0.0430566244,62992.158548616,66598567.76102804,25.7,0
55,0.1432319745,62231.1240190414,63279390.96067369,23.09,0
56,0.0206081961,10942.4020852768,2730963.525595319,27.3,0
57,0.3750075218,45437.9024473312,57358435.8005636,21.0,0
58,0.1241766613,19618.6428710725,56141970.8172796,23.4,0
59,0.0450858206,27829.8809519214,36667240.84372808,25.6,0
60,1.54184238,104251.3300930244,55849922.175358,17.93,0
61,0.1968067451,10141.4573463769,50747985.76303922,22.4,0
62,0.0494356193,45840.9663682067,31892139.724272624,25.4,0
63,0.0450858206,48278.2660847838,53508267.1800014,25.6,0
64,0.0196806745,17681.6093958802,34661779.89422328,27.4,0
65,0.0765667087,67031.1409579124,53359100.78017805,24.45,0
66,1.2417666126,44690.6105437144,29895907.52720728,18.4,0
67,0.9463242708,41150.2999181252,32448956.54997965,18.99,0
68,0.3420109247,138119.6179153084,42449777.79210029,21.2,1
69,0.3750075218,32849.2718380631,71821360.44785456,21.0,0
70,0.6368541435,121698.2652200201,14343696.102327328,19.85,1
71,0.0899580388,56257.7664189838,15729242.283004384,24.1,0
72,0.3251172245,60442.5023964691,73445496.68104573,21.31,1
73,0.1032856481,17937.5673015648,46437179.76439061,23.8,0
74,0.0171411509,49951.0568774797,58899445.11996995,27.7,0
75,0.0211855615,66140.4132814536,65984450.49309449,27.24,0
76,1.3183780956,54040.4264233289,8995868.483529503,18.27,1
